Name,State/Territory,Category,Type,Created,Updated
Energy-Efficient Retrofits Program,AL,Financial Incentive,Grant Program,2023-05-17,2024-11-07
Alabama Power Make Ready Program,AL,Financial Incentive,Rebate Program,2023-10-05,2024-11-04
Interconnection Standards,AL,Regulatory Policy,Interconnection,2024-06-10,2024-06-10
Alabama - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,AL,Financial Incentive,Grant Program,2024-06-12,2024-06-12
Net Metering,AR,Regulatory Policy,Net Metering,2001-05-16,2024-01-05
Interconnection Guidelines,AR,Regulatory Policy,Interconnection,2002-07-16,2024-01-14
Green Building Standards for State Facilities,AR,Regulatory Policy,Energy Standards for Public Buildings,2006-06-30,2024-07-03
Building Energy Code,AR,Regulatory Policy,Building Energy Code,2006-07-28,2023-06-18
"North Arkansas Electric Cooperative, Inc - Residential Energy Efficiency Loan Program",AR,Financial Incentive,Loan Program,2006-08-25,2024-05-06
Liberty Utilities - Commercial & Industrial Energy Efficiency Rebates,AR,Financial Incentive,Rebate Program,2009-08-26,2024-03-26
OGE - Commercial Energy Efficiency Rebate Programs,AR,Financial Incentive,Rebate Program,2009-08-27,2024-08-30
AEP SWEPCO - Residential Energy Efficiency Rebate Programs,AR,Financial Incentive,Rebate Program,2009-08-27,2023-07-21
AEP SWEPCO - Commercial and Industrial Energy Efficiency Rebate Programs,AR,Financial Incentive,Rebate Program,2009-09-07,2023-08-04
Entergy Arkansas - Residential Energy Efficiency Programs,AR,Financial Incentive,Rebate Program,2009-09-21,2024-08-15
Entergy Arkansas - CitySmart Energy Efficiency Program,AR,Financial Incentive,Rebate Program,2009-09-21,2024-05-06
Entergy Arkansas - Commercial and Industrial Energy Efficiency Programs,AR,Financial Incentive,Rebate Program,2009-09-22,2024-03-26
Wind Energy Manufacturing Tax Incentive,AR,Financial Incentive,Industry Recruitment/Support,2010-05-14,2024-02-13
Solar Hot Water Contractor Licensing,AR,Regulatory Policy,Solar/Wind Contractor Licensing,2010-08-11,2024-05-10
Sustainable Building Design Revolving Loan Fund,AR,Financial Incentive,Loan Program,2010-10-07,2024-05-22
Energy Efficiency Targets,AR,Regulatory Policy,Energy Efficiency Resource Standard,2011-01-06,2024-11-01
Arkansas PACE Program,AR,Financial Incentive,PACE Financing,2013-04-19,2024-01-15
Entergy Arkansas - Small Business Energy Efficiency Programs,AR,Financial Incentive,Rebate Program,2014-06-24,2024-03-26
Entergy Arkansas - Agricultural Energy Solutions Program Rebates,AR,Financial Incentive,Rebate Program,2014-08-25,2024-05-06
Local Option - Energy Efficiency Project Bonds,AR,Financial Incentive,Bond Program,2015-04-29,2024-06-07
Arkansas Oklahoma Gas (AOG) Residential Rebate Program,AR,Financial Incentive,Rebate Program,2015-06-15,2024-04-18
Entergy Arkansas - eTech Program,AR,Financial Incentive,Rebate Program,2021-07-02,2023-05-24
Reduce Emissions from Diesels (Go RED!) Program,AR,Financial Incentive,Grant Program,2023-05-25,2024-06-06
Clean Fuels Program,AR,Financial Incentive,Grant Program,2023-05-25,2024-06-06
Arkansas - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,AR,Financial Incentive,Grant Program,2024-06-12,2024-06-12
Qualifying Wood Stove Deduction,AZ,Financial Incentive,Personal Tax Deduction,2000-01-01,2023-06-02
Arizona Solar Rights,AZ,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-10-24
Solar & Wind Equipment Certification,AZ,Regulatory Policy,Equipment Certification,2000-01-01,2024-09-19
Residential Solar and Wind Energy Systems Tax Credit,AZ,Financial Incentive,Personal Tax Credit,2001-01-26,2023-06-02
Solar and Wind Equipment Sales Tax Exemption,AZ,Financial Incentive,Sales Tax Incentive,2000-01-01,2023-03-23
Sulphur Springs Valley EC - SunWatts Rebate Program,AZ,Financial Incentive,Rebate Program,2004-11-11,2024-08-14
Solar Contractor Licensing,AZ,Regulatory Policy,Solar/Wind Contractor Licensing,2000-01-01,2020-07-18
Renewable Energy Standard,AZ,Regulatory Policy,Renewables Portfolio Standard,2000-01-01,2023-12-05
Solar Design Standards for State Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,2000-01-01,2024-06-23
Energy Efficiency Standards for State Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,2005-02-15,2024-06-23
Maricopa Assn. of Governments - Solar Domestic Water Heating Permitting Standards,AZ,Regulatory Policy,Solar/Wind Permitting Standards,2002-05-31,2023-08-16
Interconnection Guidelines,AZ,Regulatory Policy,Interconnection,2003-08-21,2024-06-06
SRP - Net Metering,AZ,Regulatory Policy,Net Metering,2004-05-14,2024-08-14
Arizona Appliance and Equipment Energy Efficiency Standards,AZ,Regulatory Policy,Appliance/Equipment Efficiency Standards,2006-06-01,2024-10-28
Energy Equipment Property Tax Exemption,AZ,Financial Incentive,Property Tax Incentive,2006-06-26,2024-11-12
APS - Residential Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,2006-07-06,2024-08-14
Building Energy Code,AZ,Regulatory Policy,Building Energy Code,2006-07-28,2023-06-18
Sulphur Springs Valley EC - Residential Energy Efficiency Rebate,AZ,Financial Incentive,Rebate Program,2006-08-25,2024-08-08
Trico Electric Cooperative - SunWatts Incentive Program,AZ,Financial Incentive,Rebate Program,2007-03-05,2024-08-14
APS - Energy Efficiency Solutions for Business,AZ,Financial Incentive,Rebate Program,2007-03-20,2023-06-23
City of Scottsdale - Green Building Policy for Public Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,2007-08-02,2024-06-23
City of Scottsdale - Green Building Incentives,AZ,Financial Incentive,Green Building Incentive,2007-08-02,2022-07-19
Solar Construction Permitting Standards,AZ,Regulatory Policy,Solar/Wind Permitting Standards,2008-05-28,2023-08-16
Property Tax Assessment for Renewable Energy Equipment,AZ,Financial Incentive,Property Tax Incentive,2008-06-24,2024-11-12
Net Billing,AZ,Regulatory Policy,Net Metering,2008-10-21,2024-08-14
TEP - Residential Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,2008-11-05,2024-08-08
TEP Business Energy Solutions,AZ,Financial Incentive,Rebate Program,2008-11-05,2024-08-30
UES (Electric) - Residential Efficiency Program,AZ,Financial Incentive,Rebate Program,2008-11-06,2024-08-08
City of Chandler - Expedited Plan Review for Green Buildings,AZ,Financial Incentive,Green Building Incentive,2009-02-04,2023-01-02
City of Chandler - Green Building Requirement for City Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,2009-02-05,2024-06-23
Salt River Project - Business Energy Efficiency Programs,AZ,Financial Incentive,Rebate Program,2009-02-09,2024-08-15
City of Tucson - Solar Design Requirement for Homes,AZ,Regulatory Policy,Building Energy Code,2009-04-27,2020-06-03
Southwest Gas Corporation - Commercial High-Efficiency Equipment Rebate Program,AZ,Financial Incentive,Rebate Program,2010-02-10,2024-08-14
SRP - Residential Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,2010-03-26,2024-08-10
Southwest Gas Corporation - Combined Heat and Power Program,AZ,Financial Incentive,Rebate Program,2010-04-06,2024-08-08
Mohave Electric Cooperative - Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,2010-06-30,2024-08-10
Mohave Electric Cooperative - Renewable Energy Incentive Program,AZ,Financial Incentive,Rebate Program,2010-09-21,2024-11-18
Energy Efficiency Standards,AZ,Regulatory Policy,Energy Efficiency Resource Standard,2010-12-10,2024-10-25
City of Phoenix - Design Standards for City Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,2011-01-31,2024-06-23
City of Phoenix - Renewable Energy Goal,AZ,Regulatory Policy,Green Power Purchasing,2011-01-31,2021-08-30
Maricopa County - Renewable Energy Systems Zoning Ordinance,AZ,Regulatory Policy,Solar/Wind Permitting Standards,2011-07-14,2023-08-16
Credit for Renewable Energy Investment and Production for Self-Consumption by International Operations Centers (Corporate),AZ,Financial Incentive,Corporate Tax Credit,2014-06-18,2023-06-02
Phoenix City - Municipal Code 232 Residential Solar PV System Permit,AZ,Regulatory Policy,Solar/Wind Permitting Standards,2016-10-25,2023-08-16
Pima County - Solar & Wind Permitting Requirements,AZ,Regulatory Policy,Solar/Wind Permitting Standards,2016-10-27,2023-08-16
Alternative Fuel Vehicle Fee Reduction Program,AZ,Financial Incentive,Personal Tax Deduction,2021-05-20,2023-03-28
Alternative Fuel Vehicles Tax Exemption,AZ,Financial Incentive,Personal Tax Exemption,2021-05-20,2023-06-02
Arizona Public Service - Take Charge AZ Pilot Program,AZ,Financial Incentive,Rebate Program,2021-07-01,2023-07-05
Salt River Project - Business EV Charger Rebate,AZ,Financial Incentive,Rebate Program,2021-07-01,2023-07-06
Tucson Electric Power - Home EV Chargers Rebate,AZ,Financial Incentive,Rebate Program,2021-07-01,2023-07-05
Tucson Electric Power - Smart EV Charging Program,AZ,Financial Incentive,Rebate Program,2021-07-01,2023-07-05
Santa Clara Water & Sewer - Solar Water Heating Program,CA,Financial Incentive,Leasing Program,2000-01-01,2024-08-08
City of San Diego - Sustainable Building Policy,CA,Regulatory Policy,Energy Standards for Public Buildings,2004-11-16,2024-06-23
City of Sacramento - Solar Access Regulations,CA,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-10-30
City of San Diego - Development Regulations,CA,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-10-30
Net Metering / Net Billing,CA,Regulatory Policy,Net Metering,2000-01-01,2024-06-11
California Solar Easement and the Solar Shade Control Act,CA,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-10-22
City of Santa Monica - Green Power Purchasing through Clean Power Alliance Utility,CA,Regulatory Policy,Green Power Purchasing,2000-01-01,2021-08-30
Solar Contractor Licensing,CA,Regulatory Policy,Solar/Wind Contractor Licensing,2000-01-01,2020-07-18
Public Benefits Funds for Renewables and Efficiency,CA,Regulatory Policy,Public Benefits Fund,2000-01-01,2021-07-27
Fuel Mix Disclosure,CA,Regulatory Policy,Generation Disclosure,2000-01-01,2023-08-10
Self-Generation Incentive Program,CA,Financial Incentive,Rebate Program,2001-04-16,2024-06-10
Property Tax Exclusion for Solar Energy Systems and Solar Plus Storage System,CA,Financial Incentive,Property Tax Incentive,2001-04-19,2024-06-10
Interconnection Standards,CA,Regulatory Policy,Interconnection,2003-06-18,2024-06-04
Renewables Portfolio Standard,CA,Regulatory Policy,Renewables Portfolio Standard,2002-09-03,2023-12-05
City of Oakland - Solar Access Ordinance,CA,Regulatory Policy,Solar/Wind Access Policy,2004-08-11,2023-10-30
San Diego County - Green Building Program,CA,Financial Incentive,Green Building Incentive,2004-08-11,2022-07-21
City of Santa Cruz - Solar Access Ordinance,CA,Regulatory Policy,Solar/Wind Access Policy,2004-08-11,2023-10-24
City of Sebastopol - Solar Access,CA,Regulatory Policy,Solar/Wind Access Policy,2004-08-11,2023-10-30
San Diego County - Solar Zoning Regulations,CA,Regulatory Policy,Solar/Wind Permitting Standards,2004-08-11,2024-05-24
Marin County - Solar Easement and Access Laws,CA,Regulatory Policy,Solar/Wind Access Policy,2004-08-13,2023-10-22
California Solar Rights Act,CA,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-10-22
PG&E - Residential Energy Savings Rebate Programs,CA,Financial Incentive,Rebate Program,2006-04-26,2023-03-24
Pacific Power - wattsmart Business,CA,Financial Incentive,Rebate Program,2006-04-26,2024-05-15
SDG&E - Residential Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-04-26,2024-05-01
California Energy Design Assistance (CEDA),CA,Financial Incentive,Rebate Program,2006-05-03,2024-05-23
SCE - Multi-Family Residential Energy Efficiency Programs,CA,Financial Incentive,Rebate Program,2006-05-03,2023-08-03
SoCalGas - Residential Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,2006-05-03,2023-08-03
SoCalGas - Non-Residential Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,2006-05-03,2023-08-03
California Appliance and Equipment Energy Efficiency Standards,CA,Regulatory Policy,Appliance/Equipment Efficiency Standards,2006-06-01,2024-10-25
Alameda Municipal Power - Commercial New Construction Rebate Program,CA,Financial Incentive,Rebate Program,2006-06-19,2024-05-20
Alameda Municipal Power - Commercial Rebate Program,CA,Financial Incentive,Rebate Program,2006-06-19,2024-05-20
Anaheim Public Utilities - Residential Home Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-06-19,2023-08-04
Anaheim Public Utilities - Commercial Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,2006-06-19,2023-08-04
Anaheim Public Utilities - Small Business Energy & Water Direct Install Program,CA,Financial Incentive,Rebate Program,2006-06-22,2023-08-04
Burbank Water & Power - Energy Solutions Business Rebate Program,CA,Financial Incentive,Rebate Program,2006-06-22,2024-05-10
Burbank Water & Power - Business Bucks Energy Efficiency Grant Program,CA,Financial Incentive,Grant Program,2006-06-22,2023-08-04
Burbank Water & Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-06-26,2023-08-04
Burbank Water & Power - Green Building Incentive Program,CA,Financial Incentive,Green Building Incentive,2006-06-26,2024-08-08
City of Lompoc Utilities - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-06-26,2023-10-11
City of Lompoc Utilities - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-06-26,2023-10-04
City of Palo Alto Utilities - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-06-27,2023-07-21
City of Palo Alto Utilities - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-06-27,2023-07-21
Glendale Water and Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-06-27,2024-01-22
IID Energy - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-07-06,2024-08-08
Lassen Municipal Utility District - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-07-07,2024-05-15
Green Building Action Plan for State Facilities,CA,Regulatory Policy,Energy Standards for Public Buildings,2006-07-12,2024-06-18
Lodi Electric Utility - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-07-19,2023-07-19
Building Energy Code and Solar Requirement,CA,Regulatory Policy,Building Energy Code,2006-07-26,2023-06-18
LADWP - Non-Residential Energy Efficiency Incentive Program,CA,Financial Incentive,Rebate Program,2006-07-27,2023-08-11
LADWP - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-07-27,2023-08-11
Modesto Irrigation District - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-07-28,2023-08-11
Modesto Irrigation District - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-07-28,2023-08-11
Pasadena Water and Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-07-28,2023-08-11
Riverside Public Utilities - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-07-31,2023-08-11
Riverside Public Utilities - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-07-31,2024-05-21
Roseville Electric - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-08-01,2024-01-30
Roseville Electric - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-08-01,2024-01-29
SMUD - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-08-02,2024-05-07
SMUD - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-08-02,2024-05-07
Silicon Valley Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-08-02,2023-06-20
Silicon Valley Power - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-08-03,2023-08-04
Truckee Donner Public Utility District - Energy Conservation Rebate Program,CA,Financial Incentive,Rebate Program,2006-08-03,2023-08-11
Turlock Irrigation District - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-08-03,2023-08-11
Plumas-Sierra REC - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-09-25,2023-07-19
City of Berkeley - Green Building Standards for City Owned and Operated Projects,CA,Regulatory Policy,Energy Standards for Public Buildings,2007-03-14,2024-06-17
SoCalGas - Multi-Family Residential Rebate Program,CA,Financial Incentive,Rebate Program,2007-05-02,2023-03-24
SoCalGas - Non-Residential On-Bill Financing Program,CA,Financial Incentive,Loan Program,2007-05-03,2023-08-03
City of San Francisco - Green Building Code,CA,Regulatory Policy,Building Energy Code,2008-08-28,2024-07-18
IID Energy - Commercial Rebate Program,CA,Financial Incentive,Rebate Program,2008-10-02,2023-08-04
Modesto Irrigation District - Commercial New Construction Rebate Program,CA,Financial Incentive,Rebate Program,2009-01-21,2024-05-15
Pasadena Water and Power - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2009-02-11,2023-08-11
Pacific Power - Residential Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,2009-04-01,2023-08-11
Sonoma County Energy Independence Program (SCEIP),CA,Financial Incentive,PACE Financing,2009-04-07,2024-01-15
Alameda Municipal Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2009-04-23,2024-05-20
Local Option - Municipal Energy Districts,CA,Financial Incentive,PACE Financing,2009-07-14,2024-01-16
Sales and Use Tax Exclusion for Advanced Transportation and Alternative Energy Manufacturing Program,CA,Financial Incentive,Industry Recruitment/Support,2010-03-29,2024-03-22
City of San Francisco - GreenFinanceSF,CA,Financial Incentive,PACE Financing,2010-04-16,2021-09-21
SCE - Non-Residential On-Bill Financing Program,CA,Financial Incentive,Loan Program,2010-07-13,2023-08-03
PG&E - Multifamily Residential Energy Savings Rebate Program,CA,Financial Incentive,Rebate Program,2010-07-16,2023-08-11
SCE - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-05-03,2023-08-03
Energy Efficiency Resource Standard,CA,Regulatory Policy,Energy Efficiency Resource Standard,2010-12-21,2024-05-24
Lodi Electric Utility - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2006-07-19,2023-07-19
City of Los Angeles - Green Building Retrofit Requirement,CA,Regulatory Policy,Energy Standards for Public Buildings,2011-03-24,2024-06-21
Homebuyer Solar Option and Solar Offset Program,CA,Regulatory Policy,Building Energy Code,2011-03-28,2020-06-08
City of San Diego - Sustainable Building Expedited Permit Program,CA,Financial Incentive,Green Building Incentive,2011-04-25,2024-07-09
City of San Jose - Private Sector Green Building Policy,CA,Regulatory Policy,Building Energy Code,2011-04-26,2024-07-16
Anaheim Public Utilities - Commercial & Industrial New Construction Rebate Program,CA,Financial Incentive,Rebate Program,2006-06-23,2023-08-04
LADWP - Net Metering,CA,Regulatory Policy,Net Metering,2011-06-07,2024-06-05
Los Angeles County - Green Building Program,CA,Regulatory Policy,Building Energy Code,2011-06-17,2020-06-08
PG&E - Non-Residential Energy Efficiency Rebates,CA,Financial Incentive,Rebate Program,2006-04-24,2023-08-02
San Diego County - Wind Regulations,CA,Regulatory Policy,Solar/Wind Permitting Standards,2011-07-20,2024-05-24
San Diego County - Design Standards for County Facilities,CA,Regulatory Policy,Energy Standards for Public Buildings,2011-07-20,2024-06-21
Orange County - Development Standards for Small Wind Energy Systems,CA,Regulatory Policy,Solar/Wind Permitting Standards,2011-07-20,2024-05-24
Riverside County - Sustainable Building Policy,CA,Regulatory Policy,Energy Standards for Public Buildings,2011-07-26,2024-06-21
SoCalGas - Custom Non-Residential Energy Efficiency Program,CA,Financial Incentive,Rebate Program,2006-05-03,2023-08-11
Santa Clara County - Zoning Ordinance,CA,Regulatory Policy,Solar/Wind Permitting Standards,2011-08-19,2024-05-24
Santa Clara County - Green Building Policy for County Government Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,2011-08-25,2024-06-25
Energy Efficiency Financing for Public Sector Projects,CA,Financial Incentive,Loan Program,2012-03-21,2023-08-25
Western Riverside Council of Governments - Home Energy Renovation Opportunity (HERO) Financing Program,CA,Financial Incentive,PACE Financing,2012-05-21,2024-01-15
CaliforniaFIRST,CA,Financial Incentive,PACE Financing,2012-09-27,2023-12-27
Statewide Solar Permitting Standards,CA,Regulatory Policy,Solar/Wind Permitting Standards,2012-10-05,2024-11-01
Partial Sales and Use Tax Exemption for Agricultural Solar Power Facilities,CA,Financial Incentive,Sales Tax Incentive,2012-12-13,2024-08-15
PG&E - Non-Residential Energy Efficiency Financing Program,CA,Financial Incentive,Loan Program,2014-11-18,2023-08-02
City of Lancaster - Mandatory Solar Requirement for New Homes,CA,Regulatory Policy,Building Energy Code,2014-11-26,2020-06-08
City of Sebastopol - Mandatory Solar Requirement for Residential and Commercial Buildings,CA,Regulatory Policy,Building Energy Code,2014-11-26,2020-06-08
Renewable Market Adjusting Tariff (ReMAT),CA,Financial Incentive,Feed-in Tariff,2015-02-03,2024-05-24
LADWP - Feed-in Tariff (FiT) Program,CA,Financial Incentive,Feed-in Tariff,2015-02-19,2024-08-15
Lodi Electric Utility - Commercial and Industrial Energy Efficiency Loan Program,CA,Financial Incentive,Loan Program,2016-01-14,2023-07-19
City of Fresno - Installation of Solar Energy Systems in Construction of New City-owned Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,2016-09-06,2024-06-17
San Bernardino County – Accessory Wind Energy System Permit,CA,Regulatory Policy,Solar/Wind Permitting Standards,2016-09-06,2024-09-19
Los Angeles County - WECS-N and Temp Met Towers,CA,Regulatory Policy,Solar/Wind Permitting Standards,2016-09-06,2023-08-17
San Bernardino County - Solar Energy Development Standards,CA,Regulatory Policy,Solar/Wind Permitting Standards,2016-09-06,2023-08-17
City of San Francisco - Green Building and Efficiency/Electrification Requirements for City Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,2016-09-08,2024-06-18
City of Long Beach - Green Building Policy for Municipal Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,2016-09-13,2024-06-18
City of Oakland - Green Building Policies and Requirements,CA,Regulatory Policy,Building Energy Code,2016-09-13,2020-06-08
Santa Clara County - Solar Access Easements,CA,Regulatory Policy,Solar/Wind Access Policy,2016-09-20,2023-10-20
Santa Clara County - County Green Building Standards Code,CA,Regulatory Policy,Building Energy Code,2016-09-22,2020-06-08
Sales and Use Tax Exemption for Electric Power Generation and Storage Equipment,CA,Financial Incentive,Sales Tax Incentive,2018-02-08,2024-04-26
Burbank Water and Power - LEED Certification Incentive Program,CA,Financial Incentive,Rebate Program,2019-02-20,2023-07-19
Plumas-Sierra REC - Commercial and Irrigation Rebate Program,CA,Financial Incentive,Rebate Program,2019-02-21,2023-07-19
Silicon Valley Power - Emerging Technologies Grant Program,CA,Financial Incentive,Grant Program,2019-02-27,2023-08-11
Turlock Irrigation District - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2019-03-21,2023-08-11
Marin County - Natural Gas Appliance Replacement Rebate Program,CA,Financial Incentive,Rebate Program,2019-07-01,2023-05-18
Energy Storage Procurement Target,CA,Regulatory Policy,Energy Storage Target,2020-02-26,2023-12-04
Clean Transportation Program,CA,Financial Incentive,Grant Program,2021-05-20,2023-06-13
California Electric Vehicle Infrastructure Project (CALeVIP),CA,Financial Incentive,Rebate Program,2021-05-20,2023-05-12
California Clean Fuel Reward,CA,Financial Incentive,Rebate Program,2021-05-21,2022-09-07
Partial Sales and Use Tax Exemption for Zero-Emission Transit Buses,CA,Financial Incentive,Sales Tax Incentive,2021-05-21,2024-03-22
Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project (HVIP),CA,Financial Incentive,Rebate Program,2021-05-21,2023-05-18
Alameda Municipal Power - Electric Vehicle Rebate Program,CA,Financial Incentive,Rebate Program,2021-07-02,2023-05-12
Anaheim Public Utilities - Personal Use EV Charger Rebates,CA,Financial Incentive,Rebate Program,2021-07-02,2023-05-12
Anaheim Public Utilities - Public Access EV Charger Rebate,CA,Financial Incentive,Rebate Program,2021-07-02,2023-05-12
Anaheim Public Utilities - EV Fleet Charger and Infrastructure Rebate,CA,Financial Incentive,Rebate Program,2021-07-02,2023-05-12
Azusa Light & Water - EV Charger Rebate,CA,Financial Incentive,Rebate Program,2021-07-03,2023-07-05
Burbank Water and Power - Electric Vehicle Charger Rebate,CA,Financial Incentive,Rebate Program,2021-07-03,2023-05-12
Glendale Water and Power - Electric Vehicle Charging Station Rebate Program,CA,Financial Incentive,Rebate Program,2021-07-03,2023-05-12
